SongID,ContentCN,ContentEN,RowNum,Chapter,Type
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",4,1,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",5,1,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",6,1,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",7,1,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",8,1,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",9,1,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",10,1,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",11,1,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",12,1,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",13,1,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",14,1,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",15,1,Chorus
H10,主手所造萬象生靈﹐,"All creatures of our God and King,",1,1,Verse
H10,主手所造萬象生靈﹐,"All creatures of our God and King,",2,1,Verse
H10,主手所造萬象生靈﹐,"All creatures of our God and King,",3,1,Verse
H10,主手所造萬象生靈﹐,"All creatures of our God and King,",4,1,Verse
H10,主手所造萬象生靈﹐,"All creatures of our God and King,",5,1,Verse
H10,主手所造萬象生靈﹐,"All creatures of our God and King,",6,1,Verse
H10,同發聲音讚美真神﹐阿利路亞﹗阿利路亞﹗,"Lift up your voice and with us sing Alleluia, alleluia!",7,1,Verse
H10,同發聲音讚美真神﹐阿利路亞﹗阿利路亞﹗,"Lift up your voice and with us sing Alleluia, alleluia!",8,1,Verse
H10,同發聲音讚美真神﹐阿利路亞﹗阿利路亞﹗,"Lift up your voice and with us sing Alleluia, alleluia!",9,1,Verse
H10,同發聲音讚美真神﹐阿利路亞﹗阿利路亞﹗,"Lift up your voice and with us sing Alleluia, alleluia!",10,1,Verse
H10,同發聲音讚美真神﹐阿利路亞﹗阿利路亞﹗,"Lift up your voice and with us sing Alleluia, alleluia!",11,1,Verse
H10,同發聲音讚美真神﹐阿利路亞﹗阿利路亞﹗,"Lift up your voice and with us sing Alleluia, alleluia!",12,1,Verse
H10,溫柔明月﹐光耀日輪﹐,"Thou burning sun with golden beam,",13,1,Verse
H10,溫柔明月﹐光耀日輪﹐,"Thou burning sun with golden beam,",14,1,Verse
H10,溫柔明月﹐光耀日輪﹐,"Thou burning sun with golden beam,",15,1,Verse
H10,溫柔明月﹐光耀日輪﹐,"Thou burning sun with golden beam,",16,1,Verse
H10,溫柔明月﹐光耀日輪﹐,"Thou burning sun with golden beam,",17,1,Verse
H10,溫柔明月﹐光耀日輪﹐,"Thou burning sun with golden beam,",18,1,Verse
H10,狂風﹐密雲﹐清晨﹐黃昏﹐,"Thou silver moon with softer gleam,",19,1,Verse
H10,狂風﹐密雲﹐清晨﹐黃昏﹐,"Thou silver moon with softer gleam,",20,1,Verse
H10,狂風﹐密雲﹐清晨﹐黃昏﹐,"Thou silver moon with softer gleam,",21,1,Verse
H10,狂風﹐密雲﹐清晨﹐黃昏﹐,"Thou silver moon with softer gleam,",22,1,Verse
H10,狂風﹐密雲﹐清晨﹐黃昏﹐,"Thou silver moon with softer gleam,",23,1,Verse
H10,狂風﹐密雲﹐清晨﹐黃昏﹐,"Thou silver moon with softer gleam,",24,1,Verse
H10,清清河水長流不歇﹐,"Thou flowing water, pure and clear,",25,1,Verse
H10,清清河水長流不歇﹐,"Thou flowing water, pure and clear,",26,1,Verse
H10,清清河水長流不歇﹐,"Thou flowing water, pure and clear,",27,1,Verse
H10,熊熊烈火供人光熱﹐阿利路亞﹗阿利路亞﹗,"Make music for thy Lord to hear, alleluia, alleluia!",28,1,Verse
H10,熊熊烈火供人光熱﹐阿利路亞﹗阿利路亞﹗,"Make music for thy Lord to hear, alleluia, alleluia!",29,1,Verse
H10,熊熊烈火供人光熱﹐阿利路亞﹗阿利路亞﹗,"Make music for thy Lord to hear, alleluia, alleluia!",30,1,Verse
H10,大地高山無盡寶藏﹐,"Thou fire so masterful and bright,",31,1,Verse
H10,大地高山無盡寶藏﹐,"Thou fire so masterful and bright,",32,1,Verse
H10,大地高山無盡寶藏﹐,"Thou fire so masterful and bright,",33,1,Verse
H10,滋生萬物﹐花草芬芳﹐,"That givest man both warmth and light,",34,1,Verse
H10,滋生萬物﹐花草芬芳﹐,"That givest man both warmth and light,",35,1,Verse
H10,滋生萬物﹐花草芬芳﹐,"That givest man both warmth and light,",36,1,Verse
H10,溫柔之心遵守主命﹐,"And all ye men of tender heart,",37,1,Verse
H10,溫柔之心遵守主命﹐,"And all ye men of tender heart,",38,1,Verse
H10,溫柔之心遵守主命﹐,"And all ye men of tender heart,",39,1,Verse
H10,饒恕弟兄﹐榮神益人﹐阿利路亞﹗阿利路亞﹗,"Forgiving others, take your part, O sing ye, alleluia!",40,1,Verse
H10,饒恕弟兄﹐榮神益人﹐阿利路亞﹗阿利路亞﹗,"Forgiving others, take your part, O sing ye, alleluia!",41,1,Verse
H10,饒恕弟兄﹐榮神益人﹐阿利路亞﹗阿利路亞﹗,"Forgiving others, take your part, O sing ye, alleluia!",42,1,Verse
H10,世人飽受痛苦憂驚﹐,"Ye who long pain and sorrow bear,",43,1,Verse
H10,世人飽受痛苦憂驚﹐,"Ye who long pain and sorrow bear,",44,1,Verse
H10,世人飽受痛苦憂驚﹐,"Ye who long pain and sorrow bear,",45,1,Verse
H10,速將憂慮卸給真神﹐,"Praise God and on Him cast your care,",46,1,Verse
H10,速將憂慮卸給真神﹐,"Praise God and on Him cast your care,",47,1,Verse
H10,速將憂慮卸給真神﹐,"Praise God and on Him cast your care,",48,1,Verse
H10,萬物讚美造物主宰﹐,"Let all things their Creator bless,",49,1,Verse
H10,萬物讚美造物主宰﹐,"Let all things their Creator bless,",50,1,Verse
H10,萬物讚美造物主宰﹐,"Let all things their Creator bless,",51,1,Verse
H10,都當謙卑向主敬拜﹐阿利路亞﹗阿利路亞﹗,"And worship Him in humbleness, O praise Him, alleluia!",52,1,Verse
H10,都當謙卑向主敬拜﹐阿利路亞﹗阿利路亞﹗,"And worship Him in humbleness, O praise Him, alleluia!",53,1,Verse
H10,都當謙卑向主敬拜﹐阿利路亞﹗阿利路亞﹗,"And worship Him in humbleness, O praise Him, alleluia!",54,1,Verse
H10,讚美聖父﹐聖子﹐聖靈﹐,"Praise, praise the Father, praise the Son,",55,1,Verse
H10,讚美聖父﹐聖子﹐聖靈﹐,"Praise, praise the Father, praise the Son,",56,1,Verse
H10,讚美聖父﹐聖子﹐聖靈﹐,"Praise, praise the Father, praise the Son,",57,1,Verse
H10,同聲讚美三一真神﹐,"And praise the Spirit, three in one,",58,1,Verse
H10,同聲讚美三一真神﹐,"And praise the Spirit, three in one,",59,1,Verse
H10,同聲讚美三一真神﹐,"And praise the Spirit, three in one,",60,1,Verse
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",1,2,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",2,2,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",3,2,Chorus
H10,清清河水長流不歇﹐,"Thou flowing water, pure and clear,",1,2,Verse
H10,清清河水長流不歇﹐,"Thou flowing water, pure and clear,",2,2,Verse
H10,清清河水長流不歇﹐,"Thou flowing water, pure and clear,",3,2,Verse
H10,熊熊烈火供人光熱﹐阿利路亞﹗阿利路亞﹗,"Make music for thy Lord to hear, alleluia, alleluia!",4,2,Verse
H10,熊熊烈火供人光熱﹐阿利路亞﹗阿利路亞﹗,"Make music for thy Lord to hear, alleluia, alleluia!",5,2,Verse
H10,熊熊烈火供人光熱﹐阿利路亞﹗阿利路亞﹗,"Make music for thy Lord to hear, alleluia, alleluia!",6,2,Verse
H10,大地高山無盡寶藏﹐,"Thou fire so masterful and bright,",7,2,Verse
H10,大地高山無盡寶藏﹐,"Thou fire so masterful and bright,",8,2,Verse
H10,大地高山無盡寶藏﹐,"Thou fire so masterful and bright,",9,2,Verse
H10,滋生萬物﹐花草芬芳﹐,"That givest man both warmth and light,",10,2,Verse
H10,滋生萬物﹐花草芬芳﹐,"That givest man both warmth and light,",11,2,Verse
H10,滋生萬物﹐花草芬芳﹐,"That givest man both warmth and light,",12,2,Verse
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",1,3,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",2,3,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",3,3,Chorus
H10,溫柔之心遵守主命﹐,"And all ye men of tender heart,",1,3,Verse
H10,溫柔之心遵守主命﹐,"And all ye men of tender heart,",2,3,Verse
H10,溫柔之心遵守主命﹐,"And all ye men of tender heart,",3,3,Verse
H10,饒恕弟兄﹐榮神益人﹐阿利路亞﹗阿利路亞﹗,"Forgiving others, take your part, O sing ye, alleluia!",4,3,Verse
H10,饒恕弟兄﹐榮神益人﹐阿利路亞﹗阿利路亞﹗,"Forgiving others, take your part, O sing ye, alleluia!",5,3,Verse
H10,饒恕弟兄﹐榮神益人﹐阿利路亞﹗阿利路亞﹗,"Forgiving others, take your part, O sing ye, alleluia!",6,3,Verse
H10,世人飽受痛苦憂驚﹐,"Ye who long pain and sorrow bear,",7,3,Verse
H10,世人飽受痛苦憂驚﹐,"Ye who long pain and sorrow bear,",8,3,Verse
H10,世人飽受痛苦憂驚﹐,"Ye who long pain and sorrow bear,",9,3,Verse
H10,速將憂慮卸給真神﹐,"Praise God and on Him cast your care,",10,3,Verse
H10,速將憂慮卸給真神﹐,"Praise God and on Him cast your care,",11,3,Verse
H10,速將憂慮卸給真神﹐,"Praise God and on Him cast your care,",12,3,Verse
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",1,4,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",2,4,Chorus
H10,來讚美祂﹗來讚美祂﹗阿利路亞﹗阿利路亞﹗阿利路亞﹗,"O praise Him, O praise Him. Alleluia, alleluia, alleluia!",3,4,Chorus
H10,萬物讚美造物主宰﹐,"Let all things their Creator bless,",1,4,Verse
H10,萬物讚美造物主宰﹐,"Let all things their Creator bless,",2,4,Verse
H10,萬物讚美造物主宰﹐,"Let all things their Creator bless,",3,4,Verse
H10,都當謙卑向主敬拜﹐阿利路亞﹗阿利路亞﹗,"And worship Him in humbleness, O praise Him, alleluia!",4,4,Verse
H10,都當謙卑向主敬拜﹐阿利路亞﹗阿利路亞﹗,"And worship Him in humbleness, O praise Him, alleluia!",5,4,Verse
H10,都當謙卑向主敬拜﹐阿利路亞﹗阿利路亞﹗,"And worship Him in humbleness, O praise Him, alleluia!",6,4,Verse
H10,讚美聖父﹐聖子﹐聖靈﹐,"Praise, praise the Father, praise the Son,",7,4,Verse
H10,讚美聖父﹐聖子﹐聖靈﹐,"Praise, praise the Father, praise the Son,",8,4,Verse
H10,讚美聖父﹐聖子﹐聖靈﹐,"Praise, praise the Father, praise the Son,",9,4,Verse
H10,同聲讚美三一真神﹐,"And praise the Spirit, three in one,",10,4,Verse
H10,同聲讚美三一真神﹐,"And praise the Spirit, three in one,",11,4,Verse
H10,同聲讚美三一真神﹐,"And praise the Spirit, three in one,",12,4,Verse
H100,榮耀之釋放﹗奇妙之釋放﹗,Glorious freedom! Wonderful freedom!,1,1,Chorus
H100,榮耀之釋放﹗奇妙之釋放﹗,Glorious freedom! Wonderful freedom!,2,1,Chorus
H100,榮耀之釋放﹗奇妙之釋放﹗,Glorious freedom! Wonderful freedom!,3,1,Chorus
H100,榮耀之釋放﹗奇妙之釋放﹗,Glorious freedom! Wonderful freedom!,4,1,Chorus
H100,我再無罪惡束縛痛苦﹔,No more in chains of sin I repine!,5,1,Chorus
H100,我再無罪惡束縛痛苦﹔,No more in chains of sin I repine!,6,1,Chorus
H100,我再無罪惡束縛痛苦﹔,No more in chains of sin I repine!,7,1,Chorus
H100,我再無罪惡束縛痛苦﹔,No more in chains of sin I repine!,8,1,Chorus
H100,榮耀釋放者是救主耶穌﹐,"Jesus, the glorious Emancipator!",9,1,Chorus
H100,榮耀釋放者是救主耶穌﹐,"Jesus, the glorious Emancipator!",10,1,Chorus
H100,從今到永遠﹐使我釋放。,Now and forever He shall be mine.,11,1,Chorus
H100,從今到永遠﹐使我釋放。,Now and forever He shall be mine.,12,1,Chorus
H100,我曾被罪惡鎖鍊之捆綁﹐,"Once I was bound by sin's galling fetters,",1,1,Verse
H100,我曾被罪惡鎖鍊之捆綁﹐,"Once I was bound by sin's galling fetters,",2,1,Verse
H100,我曾被罪惡鎖鍊之捆綁﹐,"Once I was bound by sin's galling fetters,",3,1,Verse
H100,我曾被罪惡鎖鍊之捆綁﹐,"Once I was bound by sin's galling fetters,",4,1,Verse
H100,像奴不自由﹐痛苦難當﹔,"Chained like a slave I struggled in vain,",5,1,Verse
H100,像奴不自由﹐痛苦難當﹔,"Chained like a slave I struggled in vain,",6,1,Verse
H100,像奴不自由﹐痛苦難當﹔,"Chained like a slave I struggled in vain,",7,1,Verse
H100,像奴不自由﹐痛苦難當﹔,"Chained like a slave I struggled in vain,",8,1,Verse
H100,但耶穌斷開我一切鎖鍊﹐,But I received a glorious freedom,9,1,Verse
H100,但耶穌斷開我一切鎖鍊﹐,But I received a glorious freedom,10,1,Verse
H100,榮耀之救恩﹐使我釋放。,When Jesus broke my fetters in twain.,11,1,Verse
H100,榮耀之救恩﹐使我釋放。,When Jesus broke my fetters in twain.,12,1,Verse
H100,榮耀釋放者是救主耶穌﹐,"Jesus, the glorious Emancipator!",1,2,Chorus
H100,榮耀釋放者是救主耶穌﹐,"Jesus, the glorious Emancipator!",2,2,Chorus
H100,從今到永遠﹐使我釋放。,Now and forever He shall be mine.,3,2,Chorus
H100,從今到永遠﹐使我釋放。,Now and forever He shall be mine.,4,2,Chorus
H100,榮耀之釋放﹗奇妙之釋放﹗,Glorious freedom! Wonderful freedom!,5,2,Chorus
H100,榮耀之釋放﹗奇妙之釋放﹗,Glorious freedom! Wonderful freedom!,6,2,Chorus
H100,我再無罪惡束縛痛苦﹔,No more in chains of sin I repine!,7,2,Chorus
H100,我再無罪惡束縛痛苦﹔,No more in chains of sin I repine!,8,2,Chorus
H100,榮耀釋放者是救主耶穌﹐,"Jesus, the glorious Emancipator!",9,2,Chorus
H100,榮耀釋放者是救主耶穌﹐,"Jesus, the glorious Emancipator!",10,2,Chorus
H100,從今到永遠﹐使我釋放。,Now and forever He shall be mine.,11,2,Chorus
H100,從今到永遠﹐使我釋放。,Now and forever He shall be mine.,12,2,Chorus
H100,但耶穌斷開我一切鎖鍊﹐,But I received a glorious freedom,1,2,Verse
H100,但耶穌斷開我一切鎖鍊﹐,But I received a glorious freedom,2,2,Verse
H100,榮耀之救恩﹐使我釋放。,When Jesus broke my fetters in twain.,3,2,Verse
H100,榮耀之救恩﹐使我釋放。,When Jesus broke my fetters in twain.,4,2,Verse
H100,主使我脫離情慾和嗜好﹐,"Freedom from all the carnal affections,",5,2,Verse
H100,主使我脫離情慾和嗜好﹐,"Freedom from all the carnal affections,",6,2,Verse
H100,脫離我妒忌﹐恨惡狂傲﹔,"Freedom from envy, hatred and strife,",7,2,Verse
H100,脫離我妒忌﹐恨惡狂傲﹔,"Freedom from envy, hatred and strife,",8,2,Verse
H100,脫離我世俗虛空之幻想﹔,"Freedom from vain and worldly ambitions,",9,2,Verse
H100,脫離我世俗虛空之幻想﹔,"Freedom from vain and worldly ambitions,",10,2,Verse
H100,亦使我離去一切憂勞。,Freedom from all that saddened my life.,11,2,Verse
H100,亦使我離去一切憂勞。,Freedom from all that saddened my life.,12,2,Verse
H100,榮耀之釋放﹗奇妙之釋放﹗,Glorious freedom! Wonderful freedom!,1,3,Chorus
H100,榮耀之釋放﹗奇妙之釋放﹗,Glorious freedom! Wonderful freedom!,2,3,Chorus
H100,我再無罪惡束縛痛苦﹔,No more in chains of sin I repine!,3,3,Chorus
H100,我再無罪惡束縛痛苦﹔,No more in chains of sin I repine!,4,3,Chorus
H100,榮耀之釋放﹗奇妙之釋放﹗,Glorious freedom! Wonderful freedom!,5,3,Chorus
H100,榮耀之釋放﹗奇妙之釋放﹗,Glorious freedom! Wonderful freedom!,6,3,Chorus
H100,我再無罪惡束縛痛苦﹔,No more in chains of sin I repine!,7,3,Chorus
H100,我再無罪惡束縛痛苦﹔,No more in chains of sin I repine!,8,3,Chorus
H100,榮耀釋放者是救主耶穌﹐,"Jesus, the glorious Emancipator!",9,3,Chorus
H100,榮耀釋放者是救主耶穌﹐,"Jesus, the glorious Emancipator!",10,3,Chorus
H100,從今到永遠﹐使我釋放。,Now and forever He shall be mine.,11,3,Chorus
H100,從今到永遠﹐使我釋放。,Now and forever He shall be mine.,12,3,Chorus
H100,主使我脫離情慾和嗜好﹐,"Freedom from all the carnal affections,",1,3,Verse
H100,主使我脫離情慾和嗜好﹐,"Freedom from all the carnal affections,",2,3,Verse
H100,脫離我妒忌﹐恨惡狂傲﹔,"Freedom from envy, hatred and strife,",3,3,Verse
H100,脫離我妒忌﹐恨惡狂傲﹔,"Freedom from envy, hatred and strife,",4,3,Verse
H100,主使我脫離驕傲和愚昧﹐,Freedom from pride and all sinful follies;,5,3,Verse
H100,主使我脫離驕傲和愚昧﹐,Freedom from pride and all sinful follies;,6,3,Verse
H100,脫離我溺愛金錢迷惑﹔,Freedom from love and glitter of gold;,7,3,Verse
H100,脫離我溺愛金錢迷惑﹔,Freedom from love and glitter of gold;,8,3,Verse
H100,脫離我惱怒﹐暴躁之性情﹔,Freedom from evil temper and anger-,9,3,Verse
H100,脫離我惱怒﹐暴躁之性情﹔,Freedom from evil temper and anger-,10,3,Verse
H100,榮耀之釋放﹐無窮喜樂。,"Glorious freedom, rapture untold!",11,3,Verse
H100,榮耀之釋放﹐無窮喜樂。,"Glorious freedom, rapture untold!",12,3,Verse
H100,榮耀釋放者是救主耶穌﹐,"Jesus, the glorious Emancipator!",1,4,Chorus
H100,榮耀釋放者是救主耶穌﹐,"Jesus, the glorious Emancipator!",2,4,Chorus
H100,從今到永遠﹐使我釋放。,Now and forever He shall be mine.,3,4,Chorus
H100,從今到永遠﹐使我釋放。,Now and forever He shall be mine.,4,4,Chorus
H100,脫離我世俗虛空之幻想﹔,"Freedom from vain and worldly ambitions,",1,4,Verse
H100,脫離我世俗虛空之幻想﹔,"Freedom from vain and worldly ambitions,",2,4,Verse
H100,亦使我離去一切憂勞。,Freedom from all that saddened my life.,3,4,Verse
H100,亦使我離去一切憂勞。,Freedom from all that saddened my life.,4,4,Verse
H100,榮耀之釋放﹗奇妙之釋放﹗,Glorious freedom! Wonderful freedom!,1,5,Chorus
H100,榮耀之釋放﹗奇妙之釋放﹗,Glorious freedom! Wonderful freedom!,2,5,Chorus
H100,我再無罪惡束縛痛苦﹔,No more in chains of sin I repine!,3,5,Chorus
H100,我再無罪惡束縛痛苦﹔,No more in chains of sin I repine!,4,5,Chorus
H100,主使我脫離驕傲和愚昧﹐,Freedom from pride and all sinful follies;,1,5,Verse
H100,主使我脫離驕傲和愚昧﹐,Freedom from pride and all sinful follies;,2,5,Verse
H100,脫離我溺愛金錢迷惑﹔,Freedom from love and glitter of gold;,3,5,Verse
H100,脫離我溺愛金錢迷惑﹔,Freedom from love and glitter of gold;,4,5,Verse
H100,榮耀釋放者是救主耶穌﹐,"Jesus, the glorious Emancipator!",1,6,Chorus
H100,榮耀釋放者是救主耶穌﹐,"Jesus, the glorious Emancipator!",2,6,Chorus
H100,從今到永遠﹐使我釋放。,Now and forever He shall be mine.,3,6,Chorus
H100,從今到永遠﹐使我釋放。,Now and forever He shall be mine.,4,6,Chorus
H100,脫離我惱怒﹐暴躁之性情﹔,Freedom from evil temper and anger-,1,6,Verse
H100,脫離我惱怒﹐暴躁之性情﹔,Freedom from evil temper and anger-,2,6,Verse
H100,榮耀之釋放﹐無窮喜樂。,"Glorious freedom, rapture untold!",3,6,Verse
H100,榮耀之釋放﹐無窮喜樂。,"Glorious freedom, rapture untold!",4,6,Verse
H100057,耶穌我主榮耀王﹐你愛何等寬廣—,NULL,1,1,Verse
H100057,甘離寶座親來世界尋迷羊﹕,NULL,2,1,Verse
H100057,你生馬槽謙卑樣﹐又向埃及逃亡﹔,NULL,3,1,Verse
H100057,回加利利﹐居拿撒勒﹐歷風霜﹔,NULL,4,1,Verse
H100057,三十三載役於人﹐藐視、厭棄難當﹔,NULL,5,1,Verse
H100057,廣傳福音﹐報告禧年﹐走四方﹔,NULL,6,1,Verse
H100057,殷勤服事忍饑腸﹐困乏休息無床。,NULL,7,1,Verse
H100057,美哉﹐善哉﹐主愛奇哉﹐深且長﹗,NULL,8,1,Verse
H100057,耶穌我主救世王﹐你愛感我衷腸—,NULL,9,1,Verse
H100057,客西馬尼備極傷痛﹐意倉惶﹕,NULL,10,1,Verse
H100057,汗如血點滴地上﹐順從父旨不忘﹔,NULL,11,1,Verse
H100057,捨身救世﹐面如堅石前行壯﹔,NULL,12,1,Verse
H100057,輕看羞辱和苦難﹐忍受罪人頂撞﹔,NULL,13,1,Verse
H100057,背負十架﹐往各各他﹐不延宕﹔,NULL,14,1,Verse
H100057,手足被釘肋受傷﹐血水流出命喪。,NULL,15,1,Verse
H100057,美哉﹐善哉﹐主愛奇哉﹐深且長﹗,NULL,16,1,Verse
H100057,耶穌我主得勝王﹐你愛何等無量—,NULL,17,1,Verse
H100057,十架祈禱﹐憐憫為懷﹐心何廣﹗,NULL,18,1,Verse
H100057,同釘一賊得生望﹐可知救恩無疆﹔,NULL,19,1,Verse
H100057,身負重罪﹐為神離棄﹐倍淒涼﹔,NULL,20,1,Verse
H100057,痛徹肺腑心焦渴﹐苦膽、酸醋親嘗﹔,NULL,21,1,Verse
H100057,救贖功成﹐將靈交神﹐打勝仗﹔,NULL,22,1,Verse
H100057,由死復活升天上﹐代禱猶如馨香。,NULL,23,1,Verse
H100057,美哉﹐善哉﹐主愛奇哉﹐深且長﹗,NULL,24,1,Verse
H100057,耶穌我主平安王﹐你愛豈能測量—,NULL,25,1,Verse
H100057,我猶罪人﹐你已代死﹐愛明彰﹕,NULL,26,1,Verse
H100057,洗我罪孽醫我傷﹐安慰憐恤多方﹔,NULL,27,1,Verse
H100057,責備管教﹐定我步履﹐賜我光﹔,NULL,28,1,Verse
H100057,敵雖兇惡不足懼﹐救恩為我城牆﹔,NULL,29,1,Verse
H100057,疲乏軟弱﹐你加我力﹐使剛強。,NULL,30,1,Verse
H100057,仰望我主在天上﹐心被恩感歌唱﹕,NULL,31,1,Verse
H100057,美哉﹐善哉﹐主愛奇哉﹐深且長﹗,NULL,32,1,Verse
H1001,親愛主，是我四圍盾牌，,"Thou, O Lord, are a shield about me,",1,1,Verse
H1001,是我榮耀，祢使我昂然抬頭。(2x),"You’re my glory, You’re the lifter of my soul.",2,1,Verse
H1001,哈利路亞，哈利路亞，,"Hallelujah, Hallelujah,",3,1,Verse
H1001,哈利路亞，祢使我昂然抬頭。,"Hallelujah, You’re the lifter of my soul.",4,1,Verse
H1002,來歡呼耶穌!歡呼以馬內利!,All hail King Jesus! All hail Emmanuel!,1,1,Verse
H1002,萬王之王，萬主之主，明亮晨星。,"King of kings, Lord of lords, Bright Morning Star.",2,1,Verse
